√‹‘ø∏Ò Ω£∫[k1,k0]
No.1	[3,0]
No.98	[47,2]
No.99	[49,2]
No.100	[51,2]
No.101	[53,2]
No.102	[57,2]
No.103	[59,2]
No.104	[61,2]
No.105	[63,2]
No.106	[67,2]
No.107	[69,2]
No.108	[71,2]
No.109	[73,2]
No.110	[77,2]
No.111	[79,2]
No.112	[81,2]
No.113	[83,2]
No.114	[87,2]
No.115	[89,2]
No.116	[91,2]
No.117	[93,2]
No.118	[97,2]
No.119	[99,2]
No.120	[1,3]
No.121	[3,3]
No.122	[7,3]
No.123	[9,3]
No.124	[11,3]
No.125	[13,3]
No.126	[17,3]
No.127	[19,3]
No.128	[21,3]
No.129	[23,3]
No.130	[27,3]
No.131	[29,3]
No.132	[31,3]
No.133	[33,3]
No.134	[37,3]
No.135	[39,3]
No.136	[41,3]
No.137	[43,3]
No.138	[47,3]
No.139	[49,3]
No.140	[51,3]
No.141	[53,3]
No.142	[57,3]
No.143	[59,3]
No.144	[61,3]
No.145	[63,3]
No.146	[67,3]
No.147	[69,3]
No.148	[71,3]
No.149	[73,3]
No.150	[77,3]
No.151	[79,3]
No.152	[81,3]
No.153	[83,3]
No.154	[87,3]
No.155	[89,3]
No.156	[91,3]
No.157	[93,3]
No.158	[97,3]
No.159	[99,3]
No.160	[1,4]
No.161	[3,4]
No.162	[7,4]
No.163	[9,4]
No.164	[11,4]
No.165	[13,4]
No.166	[17,4]
No.167	[19,4]
No.168	[21,4]
No.169	[23,4]
No.170	[27,4]
No.171	[29,4]
No.172	[31,4]
No.173	[33,4]
No.174	[37,4]
No.175	[39,4]
No.176	[41,4]
No.177	[43,4]
No.178	[47,4]
No.179	[49,4]
No.180	[51,4]
No.181	[53,4]
No.182	[57,4]
No.183	[59,4]
No.184	[61,4]
No.185	[63,4]
No.186	[67,4]
No.187	[69,4]
No.188	[71,4]
No.189	[73,4]
No.190	[77,4]
No.191	[79,4]
No.192	[81,4]
No.193	[83,4]
No.194	[87,4]
No.195	[89,4]
No.196	[91,4]
No.197	[93,4]
No.198	[97,4]
No.199	[99,4]
No.200	[1,5]
No.201	[3,5]
No.202	[7,5]
No.203	[9,5]
No.204	[11,5]
No.205	[13,5]
No.206	[17,5]
No.207	[19,5]
No.208	[21,5]
No.209	[23,5]
No.210	[27,5]
No.211	[29,5]
No.212	[31,5]
No.213	[33,5]
No.214	[37,5]
No.215	[39,5]
No.216	[41,5]
No.217	[43,5]
No.218	[47,5]
No.219	[49,5]
No.220	[51,5]
No.221	[53,5]
No.222	[57,5]
No.223	[59,5]
No.224	[61,5]
No.225	[63,5]
No.226	[67,5]
No.227	[69,5]
No.228	[71,5]
No.229	[73,5]
No.230	[77,5]
No.231	[79,5]
No.232	[81,5]
No.233	[83,5]
No.234	[87,5]
No.235	[89,5]
No.236	[91,5]
No.237	[93,5]
No.238	[97,5]
No.239	[99,5]
No.240	[1,6]
No.241	[3,6]
No.242	[7,6]
No.243	[9,6]
No.244	[11,6]
No.245	[13,6]
No.246	[17,6]
No.247	[19,6]
No.248	[21,6]
No.249	[23,6]
No.250	[27,6]
No.251	[29,6]
No.252	[31,6]
No.253	[33,6]
No.254	[37,6]
No.255	[39,6]
No.256	[41,6]
No.257	[43,6]
No.258	[47,6]
No.259	[49,6]
No.260	[51,6]
No.261	[53,6]
No.262	[57,6]
No.263	[59,6]
No.264	[61,6]
No.265	[63,6]
No.266	[67,6]
No.267	[69,6]
No.268	[71,6]
No.269	[73,6]
No.270	[77,6]
No.271	[79,6]
No.272	[81,6]
No.273	[83,6]
No.274	[87,6]
No.275	[89,6]
No.276	[91,6]
No.277	[93,6]
No.278	[97,6]
No.279	[99,6]
No.280	[1,7]
No.281	[3,7]
No.282	[7,7]
No.283	[9,7]
No.284	[11,7]
No.285	[13,7]
No.286	[17,7]
No.287	[19,7]
No.288	[21,7]
No.289	[23,7]
No.290	[27,7]
No.291	[29,7]
No.292	[31,7]
No.293	[33,7]
No.294	[37,7]
No.295	[39,7]
No.296	[41,7]
No.297	[43,7]
No.298	[47,7]
No.299	[49,7]
No.300	[51,7]
No.301	[53,7]
No.302	[57,7]
No.303	[59,7]
No.304	[61,7]
No.305	[63,7]
No.306	[67,7]
No.307	[69,7]
No.308	[71,7]
No.309	[73,7]
No.310	[77,7]
No.311	[79,7]
No.312	[81,7]
No.313	[83,7]
No.314	[87,7]
No.315	[89,7]
No.316	[91,7]
No.317	[93,7]
No.318	[97,7]
No.319	[99,7]
No.320	[1,8]
No.321	[3,8]
No.322	[7,8]
No.323	[9,8]
No.324	[11,8]
No.325	[13,8]
No.326	[17,8]
No.327	[19,8]
No.328	[21,8]
No.329	[23,8]
No.330	[27,8]
No.331	[29,8]
No.332	[31,8]
No.333	[33,8]
No.334	[37,8]
No.335	[39,8]
No.336	[41,8]
No.337	[43,8]
No.338	[47,8]
No.339	[49,8]
No.340	[51,8]
No.341	[53,8]
No.342	[57,8]
No.343	[59,8]
No.344	[61,8]
No.345	[63,8]
No.346	[67,8]
No.347	[69,8]
No.348	[71,8]
No.349	[73,8]
No.350	[77,8]
No.351	[79,8]
No.352	[81,8]
No.353	[83,8]
No.354	[87,8]
No.355	[89,8]
No.356	[91,8]
No.357	[93,8]
No.358	[97,8]
No.359	[99,8]
No.360	[1,9]
No.361	[3,9]
No.362	[7,9]
No.363	[9,9]
No.364	[11,9]
No.365	[13,9]
No.366	[17,9]
No.367	[19,9]
No.368	[21,9]
No.369	[23,9]
No.370	[27,9]
No.371	[29,9]
No.372	[31,9]
No.373	[33,9]
No.374	[37,9]
No.375	[39,9]
No.376	[41,9]
No.377	[43,9]
No.378	[47,9]
No.379	[49,9]
No.380	[51,9]
No.381	[53,9]
No.382	[57,9]
No.383	[59,9]
No.384	[61,9]
No.385	[63,9]
No.386	[67,9]
No.387	[69,9]
No.388	[71,9]
No.389	[73,9]
No.390	[77,9]
No.391	[79,9]
No.392	[81,9]
No.393	[83,9]
No.394	[87,9]
No.395	[89,9]
No.396	[91,9]
No.397	[93,9]
No.398	[97,9]
No.399	[99,9]
No.400	[1,10]
No.401	[3,10]
No.402	[7,10]
No.403	[9,10]
No.404	[11,10]
No.405	[13,10]
No.406	[17,10]
No.407	[19,10]
No.408	[21,10]
No.409	[23,10]
No.410	[27,10]
No.411	[29,10]
No.412	[31,10]
No.413	[33,10]
No.414	[37,10]
No.415	[39,10]
No.416	[41,10]
No.417	[43,10]
No.418	[47,10]
No.419	[49,10]
No.420	[51,10]
No.421	[53,10]
No.422	[57,10]
No.423	[59,10]
No.424	[61,10]
No.425	[63,10]
No.426	[67,10]
No.427	[69,10]
No.428	[71,10]
No.429	[73,10]
No.430	[77,10]
No.431	[79,10]
No.432	[81,10]
No.433	[83,10]
No.434	[87,10]
No.435	[89,10]
No.436	[91,10]
No.437	[93,10]
No.438	[97,10]
No.439	[99,10]
No.440	[1,11]
No.441	[3,11]
No.442	[7,11]
No.443	[9,11]
No.444	[11,11]
No.445	[13,11]
No.446	[17,11]
No.447	[19,11]
No.448	[21,11]
No.449	[23,11]
No.450	[27,11]
No.451	[29,11]
No.452	[31,11]
No.453	[33,11]
No.454	[37,11]
No.455	[39,11]
No.456	[41,11]
No.457	[43,11]
No.458	[47,11]
No.459	[49,11]
No.460	[51,11]
No.461	[53,11]
No.462	[57,11]
No.463	[59,11]
No.464	[61,11]
No.465	[63,11]
No.466	[67,11]
No.467	[69,11]
No.468	[71,11]
No.469	[73,11]
No.470	[77,11]
No.471	[79,11]
No.472	[81,11]
No.473	[83,11]
No.474	[87,11]
No.475	[89,11]
No.476	[91,11]
No.477	[93,11]
No.478	[97,11]
No.479	[99,11]
No.480	[1,12]
No.481	[3,12]
No.482	[7,12]
No.483	[9,12]
No.484	[11,12]
No.485	[13,12]
No.486	[17,12]
No.487	[19,12]
No.488	[21,12]
No.489	[23,12]
No.490	[27,12]
No.491	[29,12]
No.492	[31,12]
No.493	[33,12]
No.494	[37,12]
No.495	[39,12]
No.496	[41,12]
No.497	[43,12]
No.498	[47,12]
No.499	[49,12]
No.500	[51,12]
No.501	[53,12]
No.502	[57,12]
No.503	[59,12]
No.504	[61,12]
No.505	[63,12]
No.506	[67,12]
No.507	[69,12]
No.508	[71,12]
No.509	[73,12]
No.510	[77,12]
No.511	[79,12]
No.512	[81,12]
No.513	[83,12]
No.514	[87,12]
No.515	[89,12]
No.516	[91,12]
No.517	[93,12]
No.518	[97,12]
No.519	[99,12]
No.520	[1,13]
No.521	[3,13]
No.522	[7,13]
No.523	[9,13]
No.524	[11,13]
No.525	[13,13]
No.526	[17,13]
No.527	[19,13]
No.528	[21,13]
No.529	[23,13]
No.530	[27,13]
No.531	[29,13]
No.532	[31,13]
No.533	[33,13]
No.534	[37,13]
No.535	[39,13]
No.536	[41,13]
No.537	[43,13]
No.538	[47,13]
No.539	[49,13]
No.540	[51,13]
No.541	[53,13]
No.542	[57,13]
No.543	[59,13]
No.544	[61,13]
No.545	[63,13]
No.546	[67,13]
No.547	[69,13]
No.548	[71,13]
No.549	[73,13]
No.550	[77,13]
No.551	[79,13]
No.552	[81,13]
No.553	[83,13]
No.554	[87,13]
No.555	[89,13]
No.556	[91,13]
No.557	[93,13]
No.558	[97,13]
No.559	[99,13]
No.560	[1,14]
No.561	[3,14]
No.562	[7,14]
No.563	[9,14]
No.564	[11,14]
No.565	[13,14]
No.566	[17,14]
No.567	[19,14]
No.568	[21,14]
No.569	[23,14]
No.570	[27,14]
No.571	[29,14]
No.572	[31,14]
No.573	[33,14]
No.574	[37,14]
No.575	[39,14]
No.576	[41,14]
No.577	[43,14]
No.578	[47,14]
No.579	[49,14]
No.580	[51,14]
No.581	[53,14]
No.582	[57,14]
No.583	[59,14]
No.584	[61,14]
No.585	[63,14]
No.586	[67,14]
No.587	[69,14]
No.588	[71,14]
No.589	[73,14]
No.590	[77,14]
No.591	[79,14]
No.592	[81,14]
No.593	[83,14]
No.594	[87,14]
No.595	[89,14]
No.596	[91,14]
No.597	[93,14]
No.598	[97,14]
No.599	[99,14]
No.600	[1,15]
No.601	[3,15]
No.602	[7,15]
No.603	[9,15]
No.604	[11,15]
No.605	[13,15]
No.606	[17,15]
No.607	[19,15]
No.608	[21,15]
No.609	[23,15]
No.610	[27,15]
No.611	[29,15]
No.612	[31,15]
No.613	[33,15]
No.614	[37,15]
No.615	[39,15]
No.616	[41,15]
No.617	[43,15]
No.618	[47,15]
No.619	[49,15]
No.620	[51,15]
No.621	[53,15]
No.622	[57,15]
No.623	[59,15]
No.624	[61,15]
No.625	[63,15]
No.626	[67,15]
No.627	[69,15]
No.628	[71,15]
No.629	[73,15]
No.630	[77,15]
No.631	[79,15]
No.632	[81,15]
No.633	[83,15]
No.634	[87,15]
No.635	[89,15]
No.636	[91,15]
No.637	[93,15]
No.638	[97,15]
No.639	[99,15]
No.640	[1,16]
No.641	[3,16]
No.642	[7,16]
No.643	[9,16]
No.644	[11,16]
No.645	[13,16]
No.646	[17,16]
No.647	[19,16]
No.648	[21,16]
No.649	[23,16]
No.650	[27,16]
No.651	[29,16]
No.652	[31,16]
No.653	[33,16]
No.654	[37,16]
No.655	[39,16]
No.656	[41,16]
No.657	[43,16]
No.658	[47,16]
No.659	[49,16]
No.660	[51,16]
No.661	[53,16]
No.662	[57,16]
No.663	[59,16]
No.664	[61,16]
No.665	[63,16]
No.666	[67,16]
No.667	[69,16]
No.668	[71,16]
No.669	[73,16]
No.670	[77,16]
No.671	[79,16]
No.672	[81,16]
No.673	[83,16]
No.674	[87,16]
No.675	[89,16]
No.676	[91,16]
No.677	[93,16]
No.678	[97,16]
No.679	[99,16]
No.680	[1,17]
No.681	[3,17]
No.682	[7,17]
No.683	[9,17]
No.684	[11,17]
No.685	[13,17]
No.686	[17,17]
No.687	[19,17]
No.688	[21,17]
No.689	[23,17]
No.690	[27,17]
No.691	[29,17]
No.692	[31,17]
No.693	[33,17]
No.694	[37,17]
No.695	[39,17]
No.696	[41,17]
No.697	[43,17]
No.698	[47,17]
No.699	[49,17]
No.700	[51,17]
No.701	[53,17]
No.702	[57,17]
No.703	[59,17]
No.704	[61,17]
No.705	[63,17]
No.706	[67,17]
No.707	[69,17]
No.708	[71,17]
No.709	[73,17]
No.710	[77,17]
No.711	[79,17]
No.712	[81,17]
No.713	[83,17]
No.714	[87,17]
No.715	[89,17]
No.716	[91,17]
No.717	[93,17]
No.718	[97,17]
No.719	[99,17]
No.720	[1,18]
No.721	[3,18]
No.722	[7,18]
No.723	[9,18]
No.724	[11,18]
No.725	[13,18]
No.726	[17,18]
No.727	[19,18]
No.728	[21,18]
No.729	[23,18]
No.730	[27,18]
No.731	[29,18]
No.732	[31,18]
No.733	[33,18]
No.734	[37,18]
No.735	[39,18]
No.736	[41,18]
No.737	[43,18]
No.738	[47,18]
No.739	[49,18]
No.740	[51,18]
No.741	[53,18]
No.742	[57,18]
No.743	[59,18]
No.744	[61,18]
No.745	[63,18]
No.746	[67,18]
No.747	[69,18]
No.748	[71,18]
No.749	[73,18]
No.750	[77,18]
No.751	[79,18]
No.752	[81,18]
No.753	[83,18]
No.754	[87,18]
No.755	[89,18]
No.756	[91,18]
No.757	[93,18]
No.758	[97,18]
No.759	[99,18]
No.760	[1,19]
No.761	[3,19]
No.762	[7,19]
No.763	[9,19]
No.764	[11,19]
No.765	[13,19]
No.766	[17,19]
No.767	[19,19]
No.768	[21,19]
No.769	[23,19]
No.770	[27,19]
No.771	[29,19]
No.772	[31,19]
No.773	[33,19]
No.774	[37,19]
No.775	[39,19]
No.776	[41,19]
No.777	[43,19]
No.778	[47,19]
No.779	[49,19]
No.780	[51,19]
No.781	[53,19]
No.782	[57,19]
No.783	[59,19]
No.784	[61,19]
No.785	[63,19]
No.786	[67,19]
No.787	[69,19]
No.788	[71,19]
No.789	[73,19]
No.790	[77,19]
No.791	[79,19]
No.792	[81,19]
No.793	[83,19]
No.794	[87,19]
No.795	[89,19]
No.796	[91,19]
No.797	[93,19]
No.798	[97,19]
No.799	[99,19]
No.800	[1,20]
No.801	[3,20]
No.802	[7,20]
No.803	[9,20]
No.804	[11,20]
No.805	[13,20]
No.806	[17,20]
No.807	[19,20]
No.808	[21,20]
No.809	[23,20]
No.810	[27,20]
No.811	[29,20]
No.812	[31,20]
No.813	[33,20]
No.814	[37,20]
No.815	[39,20]
No.816	[41,20]
No.817	[43,20]
No.818	[47,20]
No.819	[49,20]
No.820	[51,20]
No.821	[53,20]
No.822	[57,20]
No.823	[59,20]
No.824	[61,20]
No.825	[63,20]
No.826	[67,20]
No.827	[69,20]
No.828	[71,20]
No.829	[73,20]
No.830	[77,20]
No.831	[79,20]
No.832	[81,20]
No.833	[83,20]
No.834	[87,20]
No.835	[89,20]
No.836	[91,20]
No.837	[93,20]
No.838	[97,20]
No.839	[99,20]
No.840	[1,21]
No.841	[3,21]
No.842	[7,21]
No.843	[9,21]
No.844	[11,21]
No.845	[13,21]
No.846	[17,21]
No.847	[19,21]
No.848	[21,21]
No.849	[23,21]
No.850	[27,21]
No.851	[29,21]
No.852	[31,21]
No.853	[33,21]
No.854	[37,21]
No.855	[39,21]
No.856	[41,21]
No.857	[43,21]
No.858	[47,21]
No.859	[49,21]
No.860	[51,21]
No.861	[53,21]
No.862	[57,21]
No.863	[59,21]
No.864	[61,21]
No.865	[63,21]
No.866	[67,21]
No.867	[69,21]
No.868	[71,21]
No.869	[73,21]
No.870	[77,21]
No.871	[79,21]
No.872	[81,21]
No.873	[83,21]
No.874	[87,21]
No.875	[89,21]
No.876	[91,21]
No.877	[93,21]
No.878	[97,21]
No.879	[99,21]
No.880	[1,22]
No.881	[3,22]
No.882	[7,22]
No.883	[9,22]
No.884	[11,22]
No.885	[13,22]
No.886	[17,22]
No.887	[19,22]
No.888	[21,22]
No.889	[23,22]
No.890	[27,22]
No.891	[29,22]
No.892	[31,22]
No.893	[33,22]
No.894	[37,22]
No.895	[39,22]
No.896	[41,22]
No.897	[43,22]
No.898	[47,22]
No.899	[49,22]
No.900	[51,22]
No.901	[53,22]
No.902	[57,22]
No.903	[59,22]
No.904	[61,22]
No.905	[63,22]
No.906	[67,22]
No.907	[69,22]
No.908	[71,22]
No.909	[73,22]
No.910	[77,22]
No.911	[79,22]
No.912	[81,22]
No.913	[83,22]
No.914	[87,22]
No.915	[89,22]
No.916	[91,22]
No.917	[93,22]
No.918	[97,22]
No.919	[99,22]
No.920	[1,23]
No.921	[3,23]
No.922	[7,23]
No.923	[9,23]
No.924	[11,23]
No.925	[13,23]
No.926	[17,23]
No.927	[19,23]
No.928	[21,23]
No.929	[23,23]
No.930	[27,23]
No.931	[29,23]
No.932	[31,23]
No.933	[33,23]
No.934	[37,23]
No.935	[39,23]
No.936	[41,23]
No.937	[43,23]
No.938	[47,23]
No.939	[49,23]
No.940	[51,23]
No.941	[53,23]
No.942	[57,23]
No.943	[59,23]
No.944	[61,23]
No.945	[63,23]
No.946	[67,23]
No.947	[69,23]
No.948	[71,23]
No.949	[73,23]
No.950	[77,23]
No.951	[79,23]
No.952	[81,23]
No.953	[83,23]
No.954	[87,23]
No.955	[89,23]
No.956	[91,23]
No.957	[93,23]
No.958	[97,23]
No.959	[99,23]
No.960	[1,24]
No.961	[3,24]
No.962	[7,24]
No.963	[9,24]
No.964	[11,24]
No.965	[13,24]
No.966	[17,24]
No.967	[19,24]
No.968	[21,24]
No.969	[23,24]
No.970	[27,24]
No.971	[29,24]
No.972	[31,24]
No.973	[33,24]
No.974	[37,24]
No.975	[39,24]
No.976	[41,24]
No.977	[43,24]
No.978	[47,24]
No.979	[49,24]
No.980	[51,24]
No.981	[53,24]
No.982	[57,24]
No.983	[59,24]
No.984	[61,24]
No.985	[63,24]
No.986	[67,24]
No.987	[69,24]
No.988	[71,24]
No.989	[73,24]
No.990	[77,24]
No.991	[79,24]
No.992	[81,24]
No.993	[83,24]
No.994	[87,24]
No.995	[89,24]
No.996	[91,24]
No.997	[93,24]
No.998	[97,24]
No.999	[99,24]
No.1000	[1,25]
No.1001	[3,25]
No.1002	[7,25]
No.1003	[9,25]
No.1004	[11,25]
No.1005	[13,25]
No.1006	[17,25]
No.1007	[19,25]
No.1008	[21,25]
No.1009	[23,25]
No.1010	[27,25]
No.1011	[29,25]
No.1012	[31,25]
No.1013	[33,25]
No.1014	[37,25]
No.1015	[39,25]
No.1016	[41,25]
No.1017	[43,25]
No.1018	[47,25]
No.1019	[49,25]
No.1020	[51,25]
No.1021	[53,25]
No.1022	[57,25]
No.1023	[59,25]
No.1024	[61,25]
No.1025	[63,25]
No.1026	[67,25]
No.1027	[69,25]
No.1028	[71,25]
No.1029	[73,25]
No.1030	[77,25]
No.1031	[79,25]
No.1032	[81,25]
No.1033	[83,25]
No.1034	[87,25]
No.1035	[89,25]
No.1036	[91,25]
No.1037	[93,25]
No.1038	[97,25]
No.1039	[99,25]
No.1040	[1,26]
No.1041	[3,26]
No.1042	[7,26]
No.1043	[9,26]
No.1044	[11,26]
No.1045	[13,26]
No.1046	[17,26]
No.1047	[19,26]
No.1048	[21,26]
No.1049	[23,26]
No.1050	[27,26]
No.1051	[29,26]
No.1052	[31,26]
No.1053	[33,26]
No.1054	[37,26]
No.1055	[39,26]
No.1056	[41,26]
No.1057	[43,26]
No.1058	[47,26]
No.1059	[49,26]
No.1060	[51,26]
No.1061	[53,26]
No.1062	[57,26]
No.1063	[59,26]
No.1064	[61,26]
No.1065	[63,26]
No.1066	[67,26]
No.1067	[69,26]
No.1068	[71,26]
No.1069	[73,26]
No.1070	[77,26]
No.1071	[79,26]
No.1072	[81,26]
No.1073	[83,26]
No.1074	[87,26]
No.1075	[89,26]
No.1076	[91,26]
No.1077	[93,26]
No.1078	[97,26]
No.1079	[99,26]
No.1080	[1,27]
No.1081	[3,27]
No.1082	[7,27]
No.1083	[9,27]
No.1084	[11,27]
No.1085	[13,27]
No.1086	[17,27]
No.1087	[19,27]
No.1088	[21,27]
No.1089	[23,27]
No.1090	[27,27]
No.1091	[29,27]
No.1092	[31,27]
No.1093	[33,27]
No.1094	[37,27]
No.1095	[39,27]
No.1096	[41,27]
No.1097	[43,27]
No.1098	[47,27]
No.1099	[49,27]
No.1100	[51,27]
No.1101	[53,27]
No.1102	[57,27]
No.1103	[59,27]
No.1104	[61,27]
No.1105	[63,27]
No.1106	[67,27]
No.1107	[69,27]
No.1108	[71,27]
No.1109	[73,27]
No.1110	[77,27]
No.1111	[79,27]
No.1112	[81,27]
No.1113	[83,27]
No.1114	[87,27]
No.1115	[89,27]
No.1116	[91,27]
No.1117	[93,27]
No.1118	[97,27]
No.1119	[99,27]
No.1120	[1,28]
No.1121	[3,28]
No.1122	[7,28]
No.1123	[9,28]
No.1124	[11,28]
No.1125	[13,28]
No.1126	[17,28]
No.1127	[19,28]
No.1128	[21,28]
No.1129	[23,28]
No.1130	[27,28]
No.1131	[29,28]
No.1132	[31,28]
No.1133	[33,28]
No.1134	[37,28]
No.1135	[39,28]
No.1136	[41,28]
No.1137	[43,28]
No.1138	[47,28]
No.1139	[49,28]
No.1140	[51,28]
No.1141	[53,28]
No.1142	[57,28]
No.1143	[59,28]
No.1144	[61,28]
No.1145	[63,28]
No.1146	[67,28]
No.1147	[69,28]
No.1148	[71,28]
No.1149	[73,28]
No.1150	[77,28]
No.1151	[79,28]
No.1152	[81,28]
No.1153	[83,28]
No.1154	[87,28]
No.1155	[89,28]
No.1156	[91,28]
No.1157	[93,28]
No.1158	[97,28]
No.1159	[99,28]
No.1160	[1,29]
No.1161	[3,29]
No.1162	[7,29]
No.1163	[9,29]
No.1164	[11,29]
No.1165	[13,29]
No.1166	[17,29]
No.1167	[19,29]
No.1168	[21,29]
No.1169	[23,29]
No.1170	[27,29]
No.1171	[29,29]
No.1172	[31,29]
No.1173	[33,29]
No.1174	[37,29]
No.1175	[39,29]
No.1176	[41,29]
No.1177	[43,29]
No.1178	[47,29]
No.1179	[49,29]
No.1180	[51,29]
No.1181	[53,29]
No.1182	[57,29]
No.1183	[59,29]
No.1184	[61,29]
No.1185	[63,29]
No.1186	[67,29]
No.1187	[69,29]
No.1188	[71,29]
No.1189	[73,29]
No.1190	[77,29]
No.1191	[79,29]
No.1192	[81,29]
No.1193	[83,29]
No.1194	[87,29]
No.1195	[89,29]
No.1196	[91,29]
No.1197	[93,29]
No.1198	[97,29]
No.1199	[99,29]
No.1200	[1,30]
No.1201	[3,30]
No.1202	[7,30]
No.1203	[9,30]
No.1204	[11,30]
No.1205	[13,30]
No.1206	[17,30]
No.1207	[19,30]
No.1208	[21,30]
No.1209	[23,30]
No.1210	[27,30]
No.1211	[29,30]
No.1212	[31,30]
No.1213	[33,30]
No.1214	[37,30]
No.1215	[39,30]
No.1216	[41,30]
No.1217	[43,30]
No.1218	[47,30]
No.1219	[49,30]
No.1220	[51,30]
No.1221	[53,30]
No.1222	[57,30]
No.1223	[59,30]
No.1224	[61,30]
No.1225	[63,30]
No.1226	[67,30]
No.1227	[69,30]
No.1228	[71,30]
No.1229	[73,30]
No.1230	[77,30]
No.1231	[79,30]
No.1232	[81,30]
No.1233	[83,30]
No.1234	[87,30]
No.1235	[89,30]
No.1236	[91,30]
No.1237	[93,30]
No.1238	[97,30]
No.1239	[99,30]
No.1240	[1,31]
No.1241	[3,31]
No.1242	[7,31]
No.1243	[9,31]
No.1244	[11,31]
No.1245	[13,31]
No.1246	[17,31]
No.1247	[19,31]
No.1248	[21,31]
No.1249	[23,31]
No.1250	[27,31]
No.1251	[29,31]
No.1252	[31,31]
No.1253	[33,31]
No.1254	[37,31]
No.1255	[39,31]
No.1256	[41,31]
No.1257	[43,31]
No.1258	[47,31]
No.1259	[49,31]
No.1260	[51,31]
No.1261	[53,31]
No.1262	[57,31]
No.1263	[59,31]
No.1264	[61,31]
No.1265	[63,31]
No.1266	[67,31]
No.1267	[69,31]
No.1268	[71,31]
No.1269	[73,31]
No.1270	[77,31]
No.1271	[79,31]
No.1272	[81,31]
No.1273	[83,31]
No.1274	[87,31]
No.1275	[89,31]
No.1276	[91,31]
No.1277	[93,31]
No.1278	[97,31]
No.1279	[99,31]
No.1280	[1,32]
No.1281	[3,32]
No.1282	[7,32]
No.1283	[9,32]
No.1284	[11,32]
No.1285	[13,32]
No.1286	[17,32]
No.1287	[19,32]
No.1288	[21,32]
No.1289	[23,32]
No.1290	[27,32]
No.1291	[29,32]
No.1292	[31,32]
No.1293	[33,32]
No.1294	[37,32]
No.1295	[39,32]
No.1296	[41,32]
No.1297	[43,32]
No.1298	[47,32]
No.1299	[49,32]
No.1300	[51,32]
No.1301	[53,32]
No.1302	[57,32]
No.1303	[59,32]
No.1304	[61,32]
No.1305	[63,32]
No.1306	[67,32]
No.1307	[69,32]
No.1308	[71,32]
No.1309	[73,32]
No.1310	[77,32]
No.1311	[79,32]
No.1312	[81,32]
No.1313	[83,32]
No.1314	[87,32]
No.1315	[89,32]
No.1316	[91,32]
No.1317	[93,32]
No.1318	[97,32]
No.1319	[99,32]
No.1320	[1,33]
No.1321	[3,33]
No.1322	[7,33]
No.1323	[9,33]
No.1324	[11,33]
No.1325	[13,33]
No.1326	[17,33]
No.1327	[19,33]
No.1328	[21,33]
No.1329	[23,33]
No.1330	[27,33]
No.1331	[29,33]
No.1332	[31,33]
No.1333	[33,33]
No.1334	[37,33]
No.1335	[39,33]
No.1336	[41,33]
No.1337	[43,33]
No.1338	[47,33]
No.1339	[49,33]
No.1340	[51,33]
No.1341	[53,33]
No.1342	[57,33]
No.1343	[59,33]
No.1344	[61,33]
No.1345	[63,33]
No.1346	[67,33]
No.1347	[69,33]
No.1348	[71,33]
No.1349	[73,33]
No.1350	[77,33]
No.1351	[79,33]
No.1352	[81,33]
No.1353	[83,33]
No.1354	[87,33]
No.1355	[89,33]
No.1356	[91,33]
No.1357	[93,33]
